id,text,label
69,мудак монголский у тебя печалка твои братья чурки колорады не сняли в одессе свое самосожжение поэтому никаких кадров и нет ,1.0
70,пиздаболия вру ,1.0
71,срубавши голову по волосам не плачут ,0.0
72,к сожалению очень много нелюди пишет комментарии ,0.0
73,нет лучше оставить их россиюшке что бы она и их разворовала москалям в киев путь закрыт ,0.0
74,за что стояле сука за новую полицию которая лишь прибавила понтов за цены космические за безвиз который нахер никому не нужен а проще уже визу сделать а за зарплаты в тысячу гривен а сука я за украину и сам я уроп да что толку то нихуя не изменилось ,1.0
75,этих беркутовских ублюдков ждет трибунал и зона как и их вора януковича а путин с лукашенко пусть ждут они следующие ,1.0
76, афанасий крутиков ну за гроши с обеих сторон шакалов хватает и насколько я вижу информацию активно искажают с обеих сторон причем обильно посыпают своим мнением хотя нет вряд ли своим а у тебя я вижу мнение о востоке страны уже сложилось и не похоже что ты готов слушать чье то мнение зомби же не люди а значит с ними можно не считаться да и убить не жалко прямо милосердие ,1.0
77,а я думаю вместо беркута сталинских пулеметчиков там надо поставить с приказом зачистить площадь от стада бешеных быдлотников сколько же этого дерьма развелося в нашей стране в европу захотели а что они сделали для этого за что голосуют лутше бы работали как все нормалиные люди на заводах и фабриках экономику подымали бы они думают украина европе нужна да плевать она хотела на украину у них своих проблем хватает самая главная проблема у них унижтожить славян любым способом ес это один из этих способов конечно же эта школота сыкунская живущая за мамины и папины деньги этого не поймет куда уж им там за евро бутеры с евро чам они и мать ролную продадут как это сделали ихнии бабки деды продали советский союз за банку гнилых консервов прежде чем идти в европу нужно жить по европейски научиться а не стоять с голым задом и требовать не понятно что ,1.0
78,ахах парни из кировограда там как раз так разговаривают на бендерской мове хоть бы врали красиво и где они бежали че то не увидела ,0.0
79,у силовиков калаши с другим прикладом а у этих гнид с повязками складные приклады это не силовики а боевики нанятые западом ,1.0
80,цирк а не видео и им это показывают уже весь мир живет в веке а россия все в войнушки хочет играть путин доведет россию до того что будет как с януковичем только бежать ему уже будет некуда жаль нормальных русских которым такую правдивую информацию доносят сми ,0.0
81,разницы нет вас везде одинаково ненавидят ,0.0
82,лучше бы показали как поджигали заживо офицеров безоружныхи ну и хотя бы за чей счет сартиры содержались ой я забыл же что это канал патриота вити пинчука еврея которого буш и клинтон на юбилей приглашали тогда я не сомневаюсь в не предвзятости красава хорошо работает значит я согласен что сша не причем эти события стихийны а если даже и при чем то они спать спокойно не могли зная что где то в мире есть такой тиран янукович ведь они же любят украинушку матушку всей душой а мы все любим сша ,0.0
83,україна совісно й нескорено вставай й бандитам не прощай та всіх гадів гідно наш народе швидше покарай дивіться ютубвідео свтло віри й правди упа та благовіст довбуша все що сталось в киіві було передбачено божими пророцтвами ще з року які є в тих відео та в статтях нашоі інтернетпятірки офіцерів священників упа бандери голодюка попереду опівночі в грудні р має бути ява антихриста і призначення в киів царем путіна й тоді проти нього воскреснуть з небес з синеоким русим христом наші святі героі щоб помогти упа боротися із комунозлом бог нам помагав і поможе упа й украіна переможе щасливо слава украіні слава нації ,0.0
84, макс курбатов беркут применил дозволенную силу а в ответ получили коктейли молотова вот это уже криминал ,0.0
85,зечара тебя ждет судьба каддафи ,1.0
86,сало всем хватило ,0.0
87, сеньор помидор так что в очень тяжелое время мы живем только внуки наши наверное вкусят плоды счастливой жизни ,0.0
88, олег вяткин ну там хтось стоїть в німецький казці і кричить що він німець аву очніться то такі українці як ви нема там німців і англійцій там нема таких націй то ми свої да деякі продажні но то все одно люди україни як і ви всі ,0.0
89, ,0.0
90,де в рази підвищилися тарифи брехня як не соромно ,0.0
91,так разом ми стіна ,0.0
92, анна арич иди на хуй мелкими шагами ,1.0
93,вот зачем нам нужна реформа в правоохранительных органах но всем же пофиг ,1.0
94, андрей карпина ты вообще думаешь что пишешь или ты под действием алкоголя ты написал мы усыпили донбасс анастезиолог что ли ты не родственник фарион случайно насчет обид если был в донецке то должен знать кто обижается я могу лишь расстроиться и поверь никак не из за тебя и твоих оскорблений ,0.0
95,даун мабудь куплений пр черговий титушко клавіатурний ,1.0
96, николай негоголь я предпочту бути українцем а не тим і не іншим ,0.0
97,кроме доказательства применения огнестрельного оружия силовиками это видео доказывает отсутствие огнестрела у повстанцев в случае возможности ответного огня в полный рост вразвалочку не ходят уж этим хлопцам это точно известно ,0.0
98,петиция закончилась цифрой ,0.0
99,где власть ведь война ,0.0
100,да стыд и позор майдаунным оккупантам ,0.0
101,ага европейска нация ох ели что ли ,1.0
102,скоро за ведро строительного мусора будут сажать в сизо ,0.0
103,а где нашивки беркута у снайпера я вижу только мудака позирующего на камеру и стреляющего в людей профи себя так не ведут ,1.0
104,буковки выучи а потом по сайтам лазь ,0.0
105,вы уже помогли ,0.0
106, мирослав карпюк ахаха эбалка не выросла еще эбака хуев твоя мама хуи сосала чтоб ты за интернет заплатил а ты хуйню всякую пишеш лучше бы что нибудь умное прочитал дефективный ,1.0
107,тут правильно сказали на западе свои герои в центре свои на востоке свои герои и эти герои ни как не могут идти в одном направлении и уж тем более в единой стране невозможно строить три противоположные истории украина это ошибка это страна обреченная на развал не могут герои сс шагать рядом с героями освободителями от фашизма они враги а враги единую страну строить не могут ,0.0
108,там не видно кто стрелял и стрелял ли вообще ролик не показательный ,0.0
109,гандон ,1.0
110, уровень жизни показатель столь же бессмысленный сколь и средняя температура по больнице но каклоте не понять к европейской зарплате идут и европейские цены и европейские налоги и европейская безработица так что получается что в россии и даже на украине зарплата внезапно намного больше шкура продажная такая шкура ,1.0
111,если убрать всю словесную шелуху то все становится на свои места соглашение об ассоциации в плане экономики полная сдача слив украины факт подтвержденный всеми экспертами это приведет тотальному обнищанию народа и голодным смертям и к безысходности в плане политики значительная потеря сувернитета как во внешних так во внутренних делах при этом ни о вступлении в ес ни о безвизовом режиме ни о каких либо рабочих квотах речи вообще нет уже есть примеры ассоциации с ес тунис ливия египет и тд там царит демократия высокий уровень жизни и автобаны как в германии видимо ах да еще есть турция которая вступает в ес уже лет ,0.0
112,очень надеюсь летом в украине попасть на ваше выступление в одессе киеве ,0.0
113,иди в нато проститутка ,1.0
114,а вопрос на засыпку хочешь а как ты думаеш кто такими как вы сегодня правит да да да да наш президент с донецка а ты сучара подстилка польская ,1.0
115,да все так и есть кирдык нам они давно готовили но мы не сдадимся ,0.0
116,да и гильза от пистолета к чему здесь или снайпер с пистолета стреляет ,0.0
117,наконецто бандеров крошат ,1.0
118, филлип брукс у вас есть основания полагать что я не умен ,0.0
119,там же в жопе ,1.0
120,ты где живешь я вопрос задал а ты был в этой ущербной и неудобной сети чтоб давать оценку так что там про достижения майдана ,0.0
121,та как они заебали обосранцы с западной у нет украины засраки такой красивый город киев когда их уже водичкой обольют чтоб суки разбежались уроды ,1.0
122,хороший клип уважаю стремление человека к свободе желаю братьям украинцам не испытывать феодального колониального и сырьевого гнёта привет из россии ,0.0
123,вот тебя рожа выдает финно наглая угорская народность европейская мордва ,1.0
124,срочно ищем владельца шестнадцати редких немецких снайперских винтовок ,0.0
125,блять переведите мне название ролика с этого уёбищного хохлядского ,1.0
126,виктор фёдорович почему не разрешишь ребятам из беркута стрелять на поражение ,0.0
127,я согласен за референдум но с одной оговоркой что бы попутно была проведена федерализация страны ,0.0
128,дебилы западные нахуй с майдана хреново что беркут вас не поубивал ,1.0
129,а зачем они уже толпой бъют лежачих не перебор ли ,0.0
130,со мной вроде всё ок пока а вот с владой явно нет ,0.0
131,на счет цвета повязок очень слабый аргумент это первое второе когда в году работали снайпера у белого дома вокруг на окружающей территории было убито много людей по траекториям было установлено что снайпера стреляли с точек одна была на крыше американского посольства американский посол опроверг эту информацию ельцин сделал вид что от туда на самом деле не могло быть снайперского огня и еще если эти смерти кому и были выгодны то только тому кто в результате пришел к власти без этих смертей взбудоражить народ на крайние шаги было нельзя и четвертое как объяснить безоружное стояние беркута и срочников вв если власть отдает приказ стрелять на поражение кто отдает приказ стрелять по толпе снайперам это дело пулеметчика пулеметная очередь останавливает враз ,0.0
132,поздно они это сделали ,0.0
133,так и надо ,0.0
134,кацапы згиньте на хуй ,1.0
135,я конечно не провокатор но я бы на месте беркута стрелял боевыми дабы пресечь этот беспредел ,0.0
136,ам причём тут ник ,0.0
137,они сражаются за колонизацию украины уничтожая на корню будущее своих потомков ,0.0
138,что за тп на манеже эвромайдауна ,0.0
139, юрий анатольевич уныло лалка ,0.0
140, украина свободная страна нормально это при фашистах у власти кто когда и где жил нормально а вам баранам говорили не гоните лошадей не нарушайте конституцию не скачите за баксов заплатить придется гаразда больше вот и ищите теперь врагов и виновных коль с головами не все в порядке херовому танцору яйца всегда мешают так и вам плоскоголовым живущими одним днем путин виноват янукович конечно же козел и мразь но он был законноизбранным чего не скажешь о парашкине и его свите и возвращению януковича здесь ничего не светит по крайней мере на донбассе на него хуй положили еще тогда когда он присмыкнулся перед бандеровцами и сбежал падла со страны ,1.0
141,поймет тот у кого сердце есть и душа а это не от национальности зависит ,0.0
142,россейские толерантые терпилы комментисты против своей власти ссут поднятся так хоть в инете с украинцами повоюют велика россия а отступать не куда позади москвабад бууугага ,1.0
143,вас обманывают идиоты что ли ,1.0
144, сергей владимирович думаю вы меня не правильно поняли ,0.0
145,ролик то трольный америкосами заказаный либо инициатива самих бендерлогов говорим бендер подразумеваем паразит говорим паразит подразумеваем американец шизофрения сейчас в почете завалят своих обвинят других так было всегда гитлер поджог рейхстаг обвинил коммунистов американцы взорвали небоскребы обвинили бен ладена паразиты промывают мозги молодому поколению моисей водил евреев по пустыни лет которую перейти можно за несколько дней лет это поколения после развала ссср прошло лет одно поколение паразиты уже обработали развитие человека и его мировозрение происходит информационно но конечно играет роль и опыт прошлых плотных воплощений ,0.0
146, игорь ратников слушай мы уже скоро подарки отправим вам бендерам пидорасам после сирии готовте дупы и гробы себе слава россии и слава вв путину ,1.0
147,салоедская серая масса даже не понимают за что митингуют хаха ,1.0
148,кацапы просто в шоке и ахуе не ожидали сучки ,1.0
149,отдавайте восток и крым россие и уёбуйте в европу раз так сильно туда хотите правильно мусара вас пиздят восток украины не стремится на тех условиях что сейчас в европу ,1.0
150, сергей к свинья кацапско фашистко власовско путинская ,0.0
151,майданеры в своем репертуаре как залупаться на рабочих готовивших майдан к новому году так все такие грозные а как обратку получают только и могут кричать ганьба и идти жаловаться что избили бедненьких ,1.0
152,кого они предали кто давал право парализовывать жизнь в центре города соберись такая акция в центра ну скажем мадрида да со свистом бы улетели еще и обстреляли бы пулями резиновыми ,0.0
153,страйкболисты без сомнения снайпер в открытую не стреляет ,0.0
154,прикол в том что украине не предлагают шенген там своих нахлебников хватает ,0.0
155,у некоторых россиян очень развита мания величия во главе гнома в в пукина наполеоновский синдром моссква как сша везде лезете все пиндосы хохлы пшёнки жиды грызуны виноваты все и вся весь мир против вас это же болезнь болезнь несостоявшегося народа и страны дааааа ,0.0
156,теперь понятно кто устроил эти беспорядки на майдане нужно признать янукович сильный лидер если смог оказать сопротивление западу и их местным подстилкам да еще и при таком давлении народ выберет его на второй срок ,0.0
157,молодці ,0.0
158,это не беркут беркут в кроссовках на службе не ходит да и оружие у них устаревшее на весь этот майдан сталина нет был бы он он бы уже давно всю эту фигню разогнал и навел порядок в стране и вы украинцы не понимаете что вы такие же как и мы мы один народ если вы вступите в евро союз то вы поймете что всем славянам просто хотели навредить промывая мозги и поверили европе только вы но только когда вы это поймете это будет поздно в общем если вы подпишите соглашение об ассоциации с ес то в украине закроются многие предприятия которые якобы не подходят под их стандарты люди лишатся работы наступит кризис из за кризиса закроется еще больше заводов и фабрик в общем нет никаких радужных перспектив для вас в евро союзе мы должны быть едины только когда вы поймете все это то будет уже поздно и ваша страна к тому времени распадется на две части одна часть которая присоединилась к ес будет жить в полной разрухе а другая часть так же как и наша родина россия потому что она присоединится к нам в такие моменты становится жаль что распался ссср ведь если бы он сейчас был то мы бы уже давно надовали по заднице этой жирной америке и европе ,0.0
159,это трусливый скот погоды он не сделает ,1.0
160,иди бухай и вату в ушах проверь она себе в савке понадобится ,1.0
161,постановааа ,0.0
162,думаю волосы на заднице строители баррикады рвать будут сомневаюсь что он за свой счет будет ремонт делать нагнут мальчиков которые были на баррикаде и с их бонуса заберут деньги ,0.0
163,блохин говном выглядит со своей елкой ,1.0
164, владимир строюк так и я о тоже но у нас нет лидера истенного патриота своей страны настоящего президента вовсяком случае я невижу ,0.0
165,слава україні ,0.0
166,что за бред ха команда точно на стороне евро пид ов россию всегда боялись американцы даже думать в нашу сторону не решались не то что высказывать свою политику не говоря уже про какие то санкции а сейчас евросоюз это шавка проститутка которой куда пальцем америка покажет туда она и бежит неужели вы ослепли вокруг нас уже давно кольцо стягивают но россия им не по зубам как произойдет воссоединение прежней руси нас уже ничто не остановит а это воссоединение неизбежно потому что то что делает европа со своим растлеванием малолетних с их безработицей долговой пропасть в которую они и других хотят утянуть тираны американцы но и среди них есть люди которые скоро будет требовать независимости и отсоединения от штатов ведь это страна колонистов всему этому россия положит конец ,1.0
167,це лише цитата взята з контексту це те саме що звинувачувати шевченка у богохульстві за однією реплікою а нечуй левицького раджу почитати особливо кайдашеву сім’ю ,0.0
168,а как ещё бороться с террористами тимошенко страну гробанула и теперь на свободе где логика правильно делают что отстреливают уродов ,1.0
169,а хули ты сука говоришь по русски будь так добр сожри брюки ,1.0
170,смерть блядським ультрас собакам згодувати підарасів хлопцям з беркуту велика подяка і низький уклін за те що вистояли за те що мочили майдануте бидло простіть нас хлопці ми тоді мали стояти з вами пліч о пліч і розганяти т з майдан але нас тоді поруч не було і це лише наша провина шкода спасибі вам доблесні беркути слава беркуту слава навіки ,0.0
171, илья шинтаты не читай а найди и посмотри ,0.0
172,слів немає одні емоції ,0.0
173,вуйки приехали силой захватывать власть и плачут что кого то из них убили как печально герои блять а давайте раз в года так власть менять нах нам конституция и законы выборы будем с помощью боевиков в масках и их ультиматумов ,1.0
174,федорову нужно писать сценарии для голливуда ,0.0
175,откуда там люди твари боевики националисты а ментов убивать нельзя ,1.0
176,срала усраине ,1.0
177,ваши же сбу за вас принялись докукарекались петушки шуточки кончились принимайте свинца от своих и молитесь чтобы наши не пришли тогда уже церемониться никто не станет ,1.0
178,слава украине смерть путлеру ,0.0
179,хакамада ни на человека не похожа ни то что на женщину пустой треп общие слова о вымышленном случайном порядке происходящих событиях конечно все случайно югославия ирак ливия сирия и везде случайно накопились напряжения в обществе случайно иноземные наемники вооруженные американцами свергали правительства ,0.0
